file	rds_file	mode	clock	model_species	tissue	preprocessing	source_size	source_checksum	source_url	rds_size	rds_md5
EN_Chronoage_Mouse_Multitissue_scaleddiff.pkl	models/EN_Chronoage_Mouse_Multitissue_scaleddiff.rds	EN	Chronoage	Mouse	Multitissue	scaled_diff	955991	md5:c31d3b5ea8af7aa0891aee12d95109b5	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Mouse_Multitissue_scaleddiff.pkl/content	393780	7b2f602388a4b7020a51c44d2c93eb22
EN_Chronoage_Mouse_Multitissue_yugenediff.pkl	models/EN_Chronoage_Mouse_Multitissue_yugenediff.rds	EN	Chronoage	Mouse	Multitissue	yugene_diff	960792	md5:7dff7ed53329448476836fa052ed6097	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Mouse_Multitissue_yugenediff.pkl/content	391316	92a8b65ce34b26cf6f67ef4e59e9e3f3
EN_Chronoage_Multispecies_Multitissue_scaleddiff.pkl	models/EN_Chronoage_Multispecies_Multitissue_scaleddiff.rds	EN	Chronoage	Multispecies	Multitissue	scaled_diff	584873	md5:7dc8a470f5db20a75d7052829efbd37a	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Multispecies_Multitissue_scaleddiff.pkl/content	196324	284d4900e097e14a12b6771a8afaaead
EN_Chronoage_Multispecies_Multitissue_yugenediff.pkl	models/EN_Chronoage_Multispecies_Multitissue_yugenediff.rds	EN	Chronoage	Multispecies	Multitissue	yugene_diff	584873	md5:ad893ce7c008094b9f36450257d1934a	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Multispecies_Multitissue_yugenediff.pkl/content	194728	44dc94f509c2f370326255943cf92273
EN_Chronoage_Rodents_Brain_scaleddiff.pkl	models/EN_Chronoage_Rodents_Brain_scaleddiff.rds	EN	Chronoage	Rodents	Brain	scaled_diff	921144	md5:035013a679acd5ddb4ecb5f092626b6d	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Brain_scaleddiff.pkl/content	295688	66986547b519f9965d8564e63a39cc6d
EN_Chronoage_Rodents_Brain_yugenediff.pkl	models/EN_Chronoage_Rodents_Brain_yugenediff.rds	EN	Chronoage	Rodents	Brain	yugene_diff	925925	md5:4de57fb362eb885013bb0edd0150a3d7	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Brain_yugenediff.pkl/content	300664	d03d232ef8bfc1d3e46ccd8771c3b3fc
EN_Chronoage_Rodents_Kidney_scaleddiff.pkl	models/EN_Chronoage_Rodents_Kidney_scaleddiff.rds	EN	Chronoage	Rodents	Kidney	scaled_diff	871690	md5:c58a1430f36c738cc3d72825f28d44ec	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Kidney_scaleddiff.pkl/content	395604	f37903c790197693ec9a878dd0b6d384
EN_Chronoage_Rodents_Kidney_yugenediff.pkl	models/EN_Chronoage_Rodents_Kidney_yugenediff.rds	EN	Chronoage	Rodents	Kidney	yugene_diff	874720	md5:5a465266c64f29187fff656231d5a8d6	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Kidney_yugenediff.pkl/content	396544	3bf6392e68cd2ce19538582fada7ffdf
EN_Chronoage_Rodents_Liver_scaleddiff.pkl	models/EN_Chronoage_Rodents_Liver_scaleddiff.rds	EN	Chronoage	Rodents	Liver	scaled_diff	909931	md5:a73012b22b5f4bc9881edd1ac2b0cb72	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Liver_scaleddiff.pkl/content	268764	57d9b04be4c52afcfa9335176956727e
EN_Chronoage_Rodents_Liver_yugenediff.pkl	models/EN_Chronoage_Rodents_Liver_yugenediff.rds	EN	Chronoage	Rodents	Liver	yugene_diff	912387	md5:1967d3ea992f697ae7c1761ac9bf1aea	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Liver_yugenediff.pkl/content	388900	da0630fb12dd8e9958f8b541267cf60b
EN_Chronoage_Rodents_Multitissue_scaleddiff.pkl	models/EN_Chronoage_Rodents_Multitissue_scaleddiff.rds	EN	Chronoage	Rodents	Multitissue	scaled_diff	921296	md5:19fee9e782b4eda36ab13a459fcdb3db	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Multitissue_scaleddiff.pkl/content	383368	4c4992a8fbafd943fa285c8a646575ec
EN_Chronoage_Rodents_Multitissue_yugenediff.pkl	models/EN_Chronoage_Rodents_Multitissue_yugenediff.rds	EN	Chronoage	Rodents	Multitissue	yugene_diff	924659	md5:2e19c9ef45b45ffdebd0b2882722041a	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Multitissue_yugenediff.pkl/content	376576	8cb9128139ce29fed3566b6668439017
EN_Chronoage_Rodents_Skeletal_muscle_scaleddiff.pkl	models/EN_Chronoage_Rodents_Skeletal_muscle_scaleddiff.rds	EN	Chronoage	Rodents	Skeletal_muscle	scaled_diff	861717	md5:5640befd2990e1601e86b0ccfcbaf771	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Skeletal_muscle_scaleddiff.pkl/content	391576	cc1bc068a9cadfe8d90e22c16b41f1f2
EN_Chronoage_Rodents_Skeletal_muscle_yugenediff.pkl	models/EN_Chronoage_Rodents_Skeletal_muscle_yugenediff.rds	EN	Chronoage	Rodents	Skeletal_muscle	yugene_diff	864063	md5:30f9e2cc01a982bbf2e7deaee4aab62f	https://zenodo.org/api/records/18763485/files/EN_Chronoage_Rodents_Skeletal_muscle_yugenediff.pkl/content	278652	e79e841c3bd33806af8cb564f3b263a3
EN_Mortality_Mouse_Multitissue_scaleddiff.pkl	models/EN_Mortality_Mouse_Multitissue_scaleddiff.rds	EN	Mortality	Mouse	Multitissue	scaled_diff	964509	md5:43ee221e8cbe8577107f1a74230891e0	https://zenodo.org/api/records/18763485/files/EN_Mortality_Mouse_Multitissue_scaleddiff.pkl/content	406828	8928cfd315aaf6804e5863e799a06e3b
