motif	tf	origin	gene_id	family	name	symbol	motif_tf
M07783_2.00	TFAP2D	CIS-BP	ENSG00000008197	AP-2	NA	NA	NA
M07784_2.00	TFAP2D	CIS-BP	ENSG00000008197	AP-2	NA	NA	NA
M02651_2.00	ARID3A	CIS-BP	ENSG00000116017	ARID/BRIGHT	NA	NA	NA
M08707_2.00	ARID5B	CIS-BP	ENSG00000150347	ARID/BRIGHT	NA	NA	NA
M00116_2.00	ARID5A	CIS-BP	ENSG00000196843	ARID/BRIGHT	NA	NA	NA
M01657_2.00	ARID5A	CIS-BP	ENSG00000196843	ARID/BRIGHT	NA	NA	NA
M01661_2.00	ARID5A	CIS-BP	ENSG00000196843	ARID/BRIGHT	NA	NA	NA
M01663_2.00	ARID5A	CIS-BP	ENSG00000196843	ARID/BRIGHT	NA	NA	NA
M01668_2.00	ARID5A	CIS-BP	ENSG00000196843	ARID/BRIGHT	NA	NA	NA
M08707_2.00	ARID5A	CIS-BP	ENSG00000196843	ARID/BRIGHT	NA	NA	NA
M08708_2.00	ARID5A	CIS-BP	ENSG00000196843	ARID/BRIGHT	NA	NA	NA
M02652_2.00	HMGA1	CIS-BP	ENSG00000137309	AT hook	NA	NA	NA
M07439_2.00	HMGA1	CIS-BP	ENSG00000137309	AT hook	NA	NA	NA
M02652_2.00	HMGA2	CIS-BP	ENSG00000149948	AT hook	NA	NA	NA
M07439_2.00	HMGA2	CIS-BP	ENSG00000149948	AT hook	NA	NA	NA
M08754_2.00	MXD1	CIS-BP	ENSG00000059728	bHLH	NA	NA	NA
M08714_2.00	LYL1	CIS-BP	ENSG00000104903	bHLH	NA	NA	NA
M08716_2.00	AHR	CIS-BP	ENSG00000106546	bHLH	NA	NA	NA
M08769_2.00	HAND1	CIS-BP	ENSG00000113196	bHLH	NA	NA	NA
M08719_2.00	EPAS1	CIS-BP	ENSG00000116016	bHLH	NA	NA	NA
M09455_2.00	EPAS1	CIS-BP	ENSG00000116016	bHLH	NA	NA	NA
M02799_2.00	NEUROG3	CIS-BP	ENSG00000122859	bHLH	NA	NA	NA
M02800_2.00	NEUROG3	CIS-BP	ENSG00000122859	bHLH	NA	NA	NA
M04179_2.00	NEUROG3	CIS-BP	ENSG00000122859	bHLH	NA	NA	NA
M04180_2.00	NEUROG3	CIS-BP	ENSG00000122859	bHLH	NA	NA	NA
M04181_2.00	NEUROG3	CIS-BP	ENSG00000122859	bHLH	NA	NA	NA
M04182_2.00	NEUROG3	CIS-BP	ENSG00000122859	bHLH	NA	NA	NA
M08758_2.00	NEUROG3	CIS-BP	ENSG00000122859	bHLH	NA	NA	NA
M08057_2.00	NEUROD4	CIS-BP	ENSG00000123307	bHLH	NA	NA	NA
M01722_2.00	HEYL	CIS-BP	ENSG00000163909	bHLH	NA	NA	NA
M02790_2.00	HEYL	CIS-BP	ENSG00000163909	bHLH	NA	NA	NA
M02791_2.00	HEYL	CIS-BP	ENSG00000163909	bHLH	NA	NA	NA
M04131_2.00	HEYL	CIS-BP	ENSG00000163909	bHLH	NA	NA	NA
M04132_2.00	HEYL	CIS-BP	ENSG00000163909	bHLH	NA	NA	NA
M04133_2.00	HEYL	CIS-BP	ENSG00000163909	bHLH	NA	NA	NA
M04134_2.00	HEYL	CIS-BP	ENSG00000163909	bHLH	NA	NA	NA
M08057_2.00	NEUROD6	CIS-BP	ENSG00000164600	bHLH	NA	NA	NA
M02794_2.00	MESP1	CIS-BP	ENSG00000166823	bHLH	NA	NA	NA
M04156_2.00	PTF1A	CIS-BP	ENSG00000168267	bHLH	NA	NA	NA
M04157_2.00	PTF1A	CIS-BP	ENSG00000168267	bHLH	NA	NA	NA
M08736_2.00	PTF1A	CIS-BP	ENSG00000168267	bHLH	NA	NA	NA
M04158_2.00	NPAS2	CIS-BP	ENSG00000170485	bHLH	NA	NA	NA
M04159_2.00	NPAS2	CIS-BP	ENSG00000170485	bHLH	NA	NA	NA
M01743_2.00	MLXIP	CIS-BP	ENSG00000175727	bHLH	NA	NA	NA
M04207_2.00	ASCL2	CIS-BP	ENSG00000183734	bHLH	NA	NA	NA
M04208_2.00	ASCL2	CIS-BP	ENSG00000183734	bHLH	NA	NA	NA
M04209_2.00	ASCL2	CIS-BP	ENSG00000183734	bHLH	NA	NA	NA
M04210_2.00	ASCL2	CIS-BP	ENSG00000183734	bHLH	NA	NA	NA
M04211_2.00	ASCL2	CIS-BP	ENSG00000183734	bHLH	NA	NA	NA
M08714_2.00	TAL2	CIS-BP	ENSG00000186051	bHLH	NA	NA	NA
M08734_2.00	TAL2	CIS-BP	ENSG00000186051	bHLH	NA	NA	NA
M08759_2.00	TAL2	CIS-BP	ENSG00000186051	bHLH	NA	NA	NA
M08763_2.00	TAL2	CIS-BP	ENSG00000186051	bHLH	NA	NA	NA
M09471_2.00	TAL2	CIS-BP	ENSG00000186051	bHLH	NA	NA	NA
M09472_2.00	TAL2	CIS-BP	ENSG00000186051	bHLH	NA	NA	NA
M01726_2.00	HES4	CIS-BP	ENSG00000188290	bHLH	NA	NA	NA
M04090_2.00	HES4	CIS-BP	ENSG00000188290	bHLH	NA	NA	NA
M04091_2.00	HES4	CIS-BP	ENSG00000188290	bHLH	NA	NA	NA
M08052_2.00	TWIST2	CIS-BP	ENSG00000233608	bHLH	NA	NA	NA
M08077_2.00	NFE2L3	CIS-BP	ENSG00000050344	bZIP	NA	NA	NA
M08789_2.00	NFE2L2	CIS-BP	ENSG00000116044	bZIP	NA	NA	NA
M04299_2.00	CREB5	CIS-BP	ENSG00000146592	bZIP	NA	NA	NA
M04300_2.00	CREB5	CIS-BP	ENSG00000146592	bZIP	NA	NA	NA
M04301_2.00	CREB5	CIS-BP	ENSG00000146592	bZIP	NA	NA	NA
M04302_2.00	CREB5	CIS-BP	ENSG00000146592	bZIP	NA	NA	NA
M08822_2.00	DDIT3	CIS-BP	ENSG00000175197	bZIP	NA	NA	NA
M09492_2.00	DDIT3	CIS-BP	ENSG00000175197	bZIP	NA	NA	NA
M01143_2.00	CREB3L2	CIS-BP	ENSG00000182158	bZIP	NA	NA	NA
M01812_2.00	CREB3L2	CIS-BP	ENSG00000182158	bZIP	NA	NA	NA
M02842_2.00	CREB3L2	CIS-BP	ENSG00000182158	bZIP	NA	NA	NA
M02843_2.00	CREB3L2	CIS-BP	ENSG00000182158	bZIP	NA	NA	NA
M02844_2.00	CREB3L2	CIS-BP	ENSG00000182158	bZIP	NA	NA	NA
M02845_2.00	CREB3L2	CIS-BP	ENSG00000182158	bZIP	NA	NA	NA
M02846_2.00	CREB3L2	CIS-BP	ENSG00000182158	bZIP	NA	NA	NA
